#name, QN(filename), freq (GHz), mol(plot), QN(plot), Aul (log s^-1), Eul (K), cat, NOEMAbb, unit, width (km/s), 30msetup, 30mbb, 30mwidth (km/s), 30mline (km/s)
SO, 5_5_4_4, 215.22065300, SO, "5(5)-4(4)", -3.91491, 44.10371, JPL, lo, l009l048, 10.0, Setup1, LO, 20, 5.0
DCO+, 3_2, 216.11258220, DCO\u+, "3-2", -2.62283, 20.74365, CDMS, lo, l012l051, 10.0, Setup2, LO, 20, 3.0
c-HCCCH, 3_3_0_2_2_1, 216.27875600, c-C\d3H\d2, "3(3,0)-2(2,1)", -3.59211, 19.46594, CDMS, lo, l013l052, 10.0, Setup2, LO, 20, 3.0
SiO, 5_4, 217.10498000, SiO, 5-4, -3.28288, 31.25889, JPL, lo, l016l055, 60.0, Setup2, LO, 80, 15.0
SiO_wideband, 5_4, 217.10498000, SiO, 5-4, -3.28288, 31.25889, JPL, lo, lo, 100.0, Setup2, LO, 80, 15.0
DCN, 3_2, 217.23853780, DCN, 3-2, -3.33964, 20.85164, CDMS, lo, l017l056, 10.0, Setup2, LO, 20, 3.0
c-HCCCH, 6_0_6_5_1_5, 217.82214800, c-C\d3H\d2, "6(0,6)-5(1,5)", -3.22665, 38.60744, JPL, lo, l019l058, 10.0, Setup1, LI, 20, 3.0
c-HCCCH, 5_1_4_4_2_3, 217.94004600, c-C\d3H\d2, "5(1,4)-4(2,3)", -3.35391, 35.41701, JPL, lo, l020l059, 10.0, Setup1, LI, 20, 3.0
H2CO, 3_0_3_2_0_2, 218.22219200, H\d2CO, "3(0,3)-2(0,2)", -3.55037, 20.95640, JPL, lo, l021l060, 8.5, Setup1, LI, 20, 3.0
HC3N, 24_23, 218.32472300, HC\d3N, 24-23, -3.08296, 130.98209, CDMS, lo, l021l060, 10.0, Setup1, LI, 20, 3.0
CH3OH, 4_2_3_3_1_2E, 218.44006300, CH3OH, "4(2,3)-3(1,2)E", -4.32920, 45.45944, CDMS, lo, l022l061, 10.0, Setup1, LI, 20, 3.0
H2CO, 3_2_2_2_2_1, 218.47563200, H\d2CO, "3(2,2)-2(2,1)", -3.80403, 68.09370, JPL, lo, lo, 50.0, Setup1, LI, 20, 3.0
OCS, 18_17, 218.90335550, OCS, 18-17, -4.51737, 99.81016, CDMS, li, l023l062, 10.0, Setup1, LI, 20, 3.0
C18O, 2_1, 219.5603541, C\u1\u8O, 2-1, -6.22103, 15.80580, CDMS, li, l025l064, 10.0, Setup2, LI, 20, 3.0
SO, 6_5_5_4, 219.94944200, SO, "6(5)-5(4)", -3.86599, 34.98470, JPL, li, l026l065, 10.0, Setup2, LI, 20, 3.0
13CO, 2_1, 220.39867650, \u1\u3CO, 2-1, -6.21649, 15.86618, JPL, li, l027l066, 10.0, Setup2, LI, 20, 3.0
CO_wideband, 2_1, 230.53800000, CO, 2-1, -6.16050, 16.59608, JPL, ui, ui, 100.0, Setup1, UI, 80, 15.0
CO, 2_1, 230.53800000, CO, 2-1, -6.16050, 16.59608, JPL, ui, l032l071, 50.0, Setup1, UI, 80, 15.0
OCS, 19_18, 231.06099340, OCS, 19-18, -4.44633, 110.89923, CDMS, ui, l034l073, 10.0, Setup1, UI, 20, 3.0
N2D+, 3_2, 231.3218283, N\d2D\u+, 3-2, -2.66924, 22.20345, CDMS, ui, l034l073, 10.0, Setup1, UI, 20, 5.0
D2CO, 4_1_4_3_1_3, 221.1916613, D\d2CO, "4(1,4)-3(1,3)", -4.48258, 31.96157, CDMS, uo, l030l069, 10.0, Setup2, UO, 20, 5.0
H2CS, 7_1_7_6_1_6, 236.72702040, H\d2CS, "7(1,7)-6(1,6)", -3.71674, 58.61941, CDMS, uo, l045l084, 10.0, Setup2, UO, 20, 3.0